pravila|acesta|iaste pravilaacestaiaste immmmmsimmmmsimmms
să|nu|fii|curvariu|sau|preacurvariu|sau sănufiicurvariusaupreacurvariusau isisimsimmmmmmsimsimmmmmmmmmmsims
se-ţi|dai|trupul se-ţidaitrupul immmsimsimmmms
pre|ruşine|sau|la preruşinesaula imsimmmmsimsis
trup|de|dobitoc|unii|ca trupdedobitocuniica immsisimmmmmsimmsis
aceştia|să|nu|se|cuteaze|cîndva aceştiasănusecuteazecîndva immmmmsisisisimmmmmsimmmms
a|se|apropiia|sau|a|cugeta|spre aseapropiiasauacugetaspre cisimmmmmmsimscimmmmsimms
ucigaş|nice|răpitori|nice ucigaşnicerăpitorinice immmmsimmsimmmmmmsimms
tîlhari|ce|să|fie|curaţi tîlharicesăfiecuraţi immmmmsisisimsimmmms
întru|tot|şi|numai|bărbat|unii întrutotşinumaibărbatunii immmsimsisimmmsimmmmsimms
muieri|cum|am|zis|şi|slobod|de muiericumamzisşislobodde immmmsimsisimsisimmmmsis
toate|păcatele|şi toatepăcateleşi immmsimmmmmmsis
curat|şi|nespurcat|şi curatşinespurcatşi immmsisimmmmmmmsis
aşa|să|vie|spre|această aşasăviespreaceastă imsisimsimmsimmmmms
înfricoşată|şi|mare|slujire|iară|de înfricoşatăşimareslujireiarăde immmmmmmmmsisimmsimmmmmsimmsis
ce|se|va|aduce|pentru|blagoslovenia|la cesevaaducepentrublagosloveniala isisisimmmsimmmmsimmmmmmmmmmmsis
să|fie|aceastea|numai săfieaceasteanumai isimsimmmmmmsimmms
ale|preotului|ce|şi|slujitorilor alepreotuluiceşislujitorilor imsimmmmmmmsisisimmmmmmmmmms
bisearecilor|şi|tuturora|celora|ce|se bisearecilorşituturoraceloracese immmmmmmmmmsisimmmmmmsimmmmsisis
ostenesc|spre|acest|lucru|sfînt|dumnezeiesc|iară ostenescspreacestlucrusfîntdumnezeiesciară immmmmmsimmsimmmsimmmsimmmsimmmmmmmmmsimms
se|cade|în secadeîn isimmsis
trei|părți|să|se treipărțisăse immsimmmsisis
împarță|doao|preotului|iară|a împarțădoaopreotuluiiarăa immmmmsimmsimmmmmmmsimmsc
boiari|și|de|ceia|ce|sînt|supt boiarișideceiacesîntsupt immmmsisisimmsisimmsimms
putearea|lor|și putearealorși immmmmmsimsis
după|învățătura|lui|dumnezeu|4 dupăînvățăturaluidumnezeu4 immsimmmmmmmmsimsimmmmmmsc
de|ceia|ce|biruiaște|preotul|ca deceiacebiruiaștepreotulca isimmsisimmmmmmmsimmmmmsis
să|nu|biruiască|pre|dinsul|niminea|den sănubiruiascăpredinsulnimineaden isisimmmmmmmsimsimmmmsimmmmmsims
oamenii|cei|proști oameniiceiproști immmmmsimsimmmms
numai|bisearica|cea|mare numaibisearicaceamare immmsimmmmmmmsimsimms
și|aceaia|se|biruiască|după șiaceaiasebiruiascădupă isimmmmsisimmmmmmmsimms
leage|iară|den|oamenii|cei|proști leageiarădenoameniiceiproști immmsimmsimsimmmmmsimsimmmms
nice|boiarii|nice|mișeii|să|nu|biruiască niceboiariinicemișeiisănubiruiască immsimmmmmsimmsimmmmsisisimmmmmmms
pre|niminea|cu prenimineacu imsimmmmmsis
nice|să|ia|ceva|den|bisearecă nicesăiacevadenbisearecă immsisisimmsimsimmmmmmms
măcar|s-au|făcut|și|biseareca|numai|ce măcars-aufăcutșibisearecanumaice immmsimmsimmmsisimmmmmmmsimmmsis
va|fi|pominoc vafipominoc isisimmmmms
și|cu|blagoslovenia|bisearecii șicublagosloveniabisearecii isisimmmmmmmmmmmsimmmmmmmms
și|aceasta|cu|leage|și șiaceastaculeageși isimmmmmsisimmmsis
să|ia|ceva săiaceva isisimms
fără|blagosloveniia|preoților|den fărăblagosloveniiapreoțilorden immsimmmmmmmmmmmmsimmmmmmmsims
bisearecă|sau|fărăleage|unii|ca bisearecăsaufărăleageuniica immmmmmmsimsimmmmmmmsimmsis
aceia|a|nemica|nu|se|închipuiesc aceiaanemicanuseînchipuiesc immmscimmmmsisisimmmmmmmmms
numai|furi|de|bisearecă|și|agonisire|spurcată numaifuridebisearecășiagonisirespurcată immmsimmsisimmmmmmmsisimmmmmmmsimmmmmms
și|necredincioși|deci șinecredincioșideci isimmmmmmmmmmmsimms
aceștia|sînt|furi|și aceștiasîntfuriși immmmmsimmsimmsis
aceastea|unii|ca|aceia|n-au|pocaianie|ce aceasteauniicaaceian-aupocaianiece immmmmmsimmsisimmmsimmsimmmmmmmsis
vor|moșteni|perirea vormoșteniperirea imsimmmmmsimmmmms
că|așa|zice|domnul căașazicedomnul isimsimmsimmmms
nostru|isus|hristos|de|învaţă nostruisushristosdeînvaţă immmmsimmsimmmmmsisimmmms
să|daţi|ce|iaste|împărătesc|împăratului sădaţiceiasteîmpărătescîmpăratului isimmsisimmmsimmmmmmmmsimmmmmmmmms
iară|ce|iaste|a|lui|dumnezeu|lui iarăceiastealuidumnezeului immsisimmmscimsimmmmmmsims
nu|aibă|puteare|boiarii nuaibăputeareboiarii isimmsimmmmmsimmmmms
a|judeca|pre|preotul|de ajudecaprepreotulde cimmmmsimsimmmmmsis
li|se|va|tîmpla|vreo|greşală lisevatîmplavreogreşală isisisimmmmsimmsimmmmms
oarecarea|cădeare|ori|trupească|ori|sufletească|ce oarecareacădeareoritrupeascăorisufleteascăce immmmmmmsimmmmmsimsimmmmmmmsimsimmmmmmmmmsis
să-1|judece|iară|de să-1judeceiarăde immsimmmmsimmsis
niscari|locure|de|arătură|sau niscarilocuredearăturăsau immmmmsimmmmsisimmmmmsims
tîmpla|lor|ceva|aceastea|de|la|boiari tîmplalorcevaaceasteadelaboiari immmmsimsimmsimmmmmmsisisimmmms
însă|cu|întrebarea|arhiereului însăcuîntrebareaarhiereului immsisimmmmmmmmsimmmmmmmmms
că|nu|se|cade|episcupului cănusecadeepiscupului isisisimmsimmmmmmmmms
să-ş|judece|patriarhul|său|sau|mitropolitului să-şjudecepatriarhulsăusaumitropolitului immsimmmmsimmmmmmmmsimsimsimmmmmmmmmmmms
şi|preotul|episcopul şipreotulepiscopul isimmmmmsimmmmmmms
lui|nice|diaconul|ceva luinicediaconulceva imsimmsimmmmmmsimms
să|grăiască|sau|să|judece săgrăiascăsausăjudece isimmmmmmsimsisimmmms
pre|popa|al|lui|ca|nu prepopaalluicanu imsimmsisimsisis
cumva|să|nu|se|grijască|preoţia|dumnezeiască cumvasănusegrijascăpreoţiadumnezeiască immmsisisisimmmmmmsimmmmmsimmmmmmmmmms
episcupul|să|nu episcupulsănu immmmmmmsisis
poftească|dar|de|la pofteascădardela immmmmmmsimsisis
pre|acela|ce|va|vrea|să preacelacevavreasă imsimmmsisisimmsis
se|preoţească|de|năravul|lui|şi|să-l sepreoţeascădenăravulluişisă-l isimmmmmmmmsisimmmmmsimsisimms
ispitească|pre|dinsul ispiteascăpredinsul immmmmmmmsimsimmmms
de|mintea|lui|şi|mai demintealuişimai isimmmmsimsisims
ales|de|grija|cărţii|şi|aşa alesdegrijacărţiişiaşa immsisimmmsimmmmsisims
să-l|afle|pre|dinsul|întru|toate|deplin să-laflepredinsulîntrutoatedeplin immsimmsimsimmmmsimmmsimmmsimmmms
şi|nevinovat|şi şinevinovatşi isimmmmmmmsis
aşa|să-l|preoţească|şi aşasă-lpreoţeascăşi imsimmsimmmmmmmmsis
să-l|priimească|ca|trupul|lui să-lpriimeascăcatrupullui immsimmmmmmmmsisimmmmsims
episcopul|de|va|pomeni|să|ia episcopuldevapomenisăia immmmmmmsisisimmmmsisis
dar|de|la|cela|ce|va|vrea dardelacelacevavrea imsisisimmsisisimms
să|se|preoţească săsepreoţească isisimmmmmmmms
fi|nedestoinic|sau|pentru|darul finedestoinicsaupentrudarul isimmmmmmmmmsimsimmmmsimmms
va|lega|pre|preotul|fără|de valegaprepreotulfărăde isimmsimsimmmmmsimmsis
vină|unii|ca|aceia|să|nu|se vinăuniicaaceiasănuse immsimmsisimmmsisisis
asculte|te|ce ascultetece immmmmsisis
să|se|întoarcă|durearea săseîntoarcădurearea isisimmmmmmsimmmmmms
lui|spre|capul|lui|şi luisprecapulluişi imsimmsimmmsimsis
se|pogoară|şi|se|fie|ca|şi sepogoarăşisefiecaşi isimmmmmsisisimsisis
simon|vrăjitoriul|întru simonvrăjitoriulîntru immmsimmmmmmmmmsimmms
osîndire|5|şi|cine osîndire5şicine immmmmmscisimms
va|vrea|să|se|călugărească vavreasăsecălugărească isimmsisisimmmmmmmmmms
pre|aceale|locure|şi|cu|muiarea|lui preacealelocureşicumuiarealui imsimmmmsimmmmsisisimmmmmsims
va|da|ceva vadaceva isisimms
dentru|avearea|lor|bisearecii dentruavearealorbisearecii immmmsimmmmmsimsimmmmmmmms
şi|sufleteaște|o|va|da şisufleteașteovada isimmmmmmmmmscisis
părea|rău|şi|vor|înceape|a-ş|asculta părearăuşivorînceapea-şasculta immmsimsisimsimmmmmsimsimmmmms
au|dat|ce|sau-l audatcesau-l isimsisimmms
vor|ceare|sau-l|vor|fura vorcearesau-lvorfura imsimmmsimmmsimsimms
de|vor|face|cu|neștiinţă|să|ia devorfacecuneștiinţăsăia isimsimmsisimmmmmmmsisis
canon|şi|să canonşisă immmsisis
ca|acelora|să|nu|se caacelorasănuse isimmmmmsisisis
dă|lor|iară|de|vor|ști dăloriarădevorști isimsimmsisimsims
și|nu|vor|vrea|să|asculte|cumu-i șinuvorvreasăascultecumu-i isisimsimmsisimmmmmsimmmms
vor|învăţa|pre vorînvăţapre imsimmmmsims
denşii|unii|ca|aceia denşiiuniicaaceia immmmsimmsisimmms
şi|den|bisearecă|să|se|desparţă şidenbisearecăsăsedesparţă isimsimmmmmmmsisisimmmmmms
că|darurile|bisearecii cădarurilebisearecii isimmmmmmsimmmmmmmms
iată|de|acmu|nu iatădeacmunu immsisimmsis
mai|iaste|puteare|nice|să maiiasteputearenicesă imsimmmsimmmmmsimmsis
mai|dea|nice|să|mai|ia maideanicesămaiia imsimsimmsisimsis
episcopul|sau|igumenul|sau|fieșcarele|dentru|rîndul episcopulsauigumenulsaufieșcareledentrurîndul immmmmmmsimsimmmmmmsimsimmmmmmmmsimmmmsimmmms
preoţesc|de|va preoţescdeva immmmmmsisis
oamenilor|şi|răutate|învăţăm|pre oamenilorşirăutateînvăţămpre immmmmmmsisimmmmmsimmmmmsims
unii|ca|aceia|să|se|scoaţă uniicaaceiasăsescoaţă immsisimmmsisisimmmms
sau|iară|de|vor|căuta|direptatea|pentru sauiarădevorcăutadireptateapentru imsimmsisimsimmmsimmmmmmmmsimmmms
să|se|scoaţă|den săsescoaţăden isisimmmmsims
sau|va|face|preacurvie|să|se sauvafacepreacurviesăse imsisimmsimmmmmmmmsisis
scoaţă|episcopul|ce|va|fi|negrijnic|de scoaţăepiscopulcevafinegrijnicde immmmsimmmmmmmsisisisimmmmmmmsis
bisearecă|şi|se bisearecăşise immmmmmmsisis
va|mîhni|de|rugăciune vamîhniderugăciune isimmmsisimmmmmmms
şi|popii|nu-i|va|învăța şipopiinu-ivaînvăța isimmmsimmsisimmmms
ța|de|aşa|ce|şi|acealea țadeaşaceşiacealea isisimsisisimmmmms
le|va|lăsa|de|negrija|duhovnicu-său|numai levalăsadenegrijaduhovnicu-săunumai isisimmsisimmmmmsimmmmmmmmmmmsimmms
ce|va|lucra cevalucra isisimmms
cu|mîinile|lui|şi cumîinileluişi isimmmmmsimsis
va|tocmi|mireanii|iară|de vatocmimireaniiiarăde isimmmsimmmmmmsimmsis
griji|aşa|unii|ca|aceia|să|se grijiaşauniicaaceiasăse immmsimsimmsisimmmsisis
întreabe|pentru|ce întreabepentruce immmmmmsimmmmsis
că|grăiaște|scriptura|lepădat căgrăiaștescripturalepădat isimmmmmmsimmmmmmmsimmmmms
să|fie|fieşcine|face|lucrul săfiefieşcinefacelucrul isimsimmmmmmsimmsimmmms
lui|dumnezeu|cu|nesocotinţă|că|fieşce luidumnezeucunesocotinţăcăfieşce imsimmmmmmsisimmmmmmmmmsisimmmms
lucru|ce|se|lucreaze|cu|mîna|trupesc lucruceselucreazecumînatrupesc immmsisisimmmmmmsisimmsimmmmms
cel|sufletesc|lucrul|lui celsufletesclucrullui imsimmmmmmmsimmmmsims
dumnezeu|iaste|ce|de|dinsul dumnezeuiastecededinsul immmmmmsimmmsisisimmmms
zisem|că|mai|vîrtos|pentru|aceastea zisemcămaivîrtospentruaceastea immmsisimsimmmmsimmmmsimmmmmms
se|cade|episcopul|la|vreamea|morţii|lui secadeepiscopullavreameamorţiilui isimmsimmmmmmmsisimmmmmsimmmmsims
să|nu|aibă sănuaibă isisimms
puteare|a|împărţi|nemănui puteareaîmpărţinemănui immmmmscimmmmmsimmmmms
de-al|bisearecii|măcară|ce|şi de-albiseareciimăcarăceşi immmsimmmmmmmmsimmmmsisis
şi|de|cealea|ce|au|însuş şidecealeaceauînsuş isisimmmmsisisimmms
strîns|pre|diregătoriia|lui|nice|den|cealea strînsprediregătoriialuinicedencealea immmmsimsimmmmmmmmmmsimsimmsimsimmmms
ce-s|altele|le ce-saltelele immsimmmmsis
numai|ce|va|avea numaicevaavea immmsisisimms
dentr-al|lui|den|cealea|ce dentr-alluidencealeace immmmmmsimsimsimmmmsis
va|fi|dat|la|biseareci|şi vafidatlabisearecişi isisimsisimmmmmmmsis
va|da|ţîrcovnicilor|de|aceasta|învăţăm|jumătate vadaţîrcovnicilordeaceastaînvăţămjumătate isisimmmmmmmmmmmsisimmmmmsimmmmmsimmmmmms
să|se|împarţă săseîmparţă isisimmmmms
la|pamentea|lui|pentru lapamentealuipentru isimmmmmmsimsimmmms
pamentea|arhierească|episcopul|ce|va pamenteaarhiereascăepiscopulceva immmmmmsimmmmmmmmmsimmmmmmmsisis
purta|oaste|după|dinsul|sau|va purtaoastedupădinsulsauva immmsimmmsimmsimmmmsimsis
avea|multe|cuvinte aveamultecuvinte immsimmmsimmmmms
fără|de|folos|sau fărădefolossau immsisimmmsims
va|face|preacurvie|să|se vafacepreacurviesăse isimmsimmmmmmmmsisis
scoaţă|că|nu|se|cade|episcopului scoaţăcănusecadeepiscopului immmmsisisisimmsimmmmmmmmms
să|umble|la|mărturie|sau|la|chemarea săumblelamărturiesaulachemarea isimmmsisimmmmmmsimsisimmmmmms
measelor|iară|de measeloriarăde immmmmmsimmsis
va|mearge|cîndva|el vameargecîndvael isimmmmsimmmmsis
să|nu|meargă|pentru|mărturia sănumeargăpentrumărturia isisimmmmsimmmmsimmmmmms
nice|pentru|mîncările|nice|pentru|beuturile nicepentrumîncărilenicepentrubeuturile immsimmmmsimmmmmmmsimmsimmmmsimmmmmmms
nice|pentru|beţiile|ce|pentru|învăţătura|sufletească nicepentrubeţiilecepentruînvăţăturasufletească immsimmmmsimmmmmsisimmmmsimmmmmmmmsimmmmmmmmms
că|se|cade căsecade isisimms
cu|blîndeaţe|şi|cu|plecare|iară cublîndeaţeşicuplecareiară isimmmmmmmsisisimmmmmsimms
nu|cu|răutate|nu|se|cade|preotului nucurăutatenusecadepreotului isisimmmmmsisisimmsimmmmmmms
să|blagoslovească|pre săblagosloveascăpre isimmmmmmmmmmmmsims
episcopul|nice|diaconul|pre episcopulnicediaconulpre immmmmmmsimmsimmmmmmsims
popa|nice|ceteţul|pre|diaconul popaniceceteţulprediaconul immsimmsimmmmmsimsimmmmmms
nedireptatea|şi|la nedireptateaşila immmmmmmmmmsisis
ucidere|să|se|scoaţă ucideresăsescoaţă immmmmsisisimmmms
preotul|de|se|va|însura preotuldesevaînsura immmmmsisisisimmmms
cu|a|doao|muiare|să|se cuadoaomuiaresăse iscimmsimmmmsisis
neguţătoriu|sau|camatnic|ce neguţătoriusaucamatnicce immmmmmmmmsimsimmmmmmsis
va|vrea|să-ş|înmulţească|argintul vavreasă-şînmulţeascăargintul isimmsimmsimmmmmmmmmsimmmmmms
lui|să|se|lase|de|leturghie luisăselasedeleturghie imsisisimmsisimmmmmmms
pentru|ce|că|iaste|împreunat|minciunilor|şi pentrucecăiasteîmpreunatminciunilorşi immmmsisisimmmsimmmmmmmsimmmmmmmmmsis
asupriciunii|şi|mai asupriciuniişimai immmmmmmmmmsisims
mare|e|neguţătoria|decît mareeneguţătoriadecît immscimmmmmmmmmsimmms
curviia|de|se|va|lăsa curviiadesevalăsa immmmmsisisisimms
de|unele|ca|acealea|iară|se deunelecaacealeaiarăse isimmmsisimmmmmsimmsis
preoţească|iară|de|nu|acela|să|fie preoţeascăiarădenuacelasăfie immmmmmmmsimmsisisimmmsisims
diaconul|de|va|cămătnici diaconuldevacămătnici immmmmmsisisimmmmmmms
ori|să|se|lase|de orisăselasede imsisisimmsis
scoaţă|preotul|ce|va|cînta|mireneaște|sau scoaţăpreotulcevacîntamireneaștesau immmmsimmmmmsisisimmmsimmmmmmmmsims
va|juca|ori vajucaori isimmsims
unele|ca|acealea|ori|să unelecaacealeaorisă immmsisimmmmmsimsis
se|scoaţă|preotul|de|va|cădea sescoaţăpreotuldevacădea isimmmmsimmmmmsisisimmms
în|curvie|sau-ş|va|da|trupul|spre încurviesau-şvadatrupulspre isimmmmsimmmsisisimmmmsimms
gadini|ori|cu|dobitoace gadinioricudobitoace immmmsimsisimmmmmmms
să|se|lase|unii|ca săselaseuniica isisimmsimmsis
aceia|de|leturghie|iară|încă|de aceiadeleturghieiarăîncăde immmsisimmmmmmmsimmsimmsis
nu|va|fi|popă|şi|se|va nuvafipopăşiseva isisisimmsisisis
afla|întru|toate aflaîntrutoate immsimmmsimmms
să|nu|se|cuteaze sănusecuteaze isisisimmmmms
a|se|apropiia|la|preoţie aseapropiialapreoţie cisimmmmmmsisimmmmms
se|scoaţă|preotul sescoaţăpreotul isimmmmsimmmmms
a|lucra|în|cetate|şi alucraîncetateşi cimmmsisimmmmsis
va|cerca|să|se|boierească|şi vacercasăseboiereascăşi isimmmsisisimmmmmmmmsis
va|umbla|cu|nuşii|şi|va|mearge vaumblacunuşiişivamearge isimmmsisimmmsisisimmmms
în|săbor|cu însăborcu isimmmsis
boiari|alegînd|fără|de|o boiarialegîndfărădeo immmmsimmmmmsimmsisc
nevoie|oarecarea|de-i|va|fi|lui nevoieoarecareade-ivafilui immmmsimmmmmmmsimmsisisims
ori|să|se orisăse imsisis
lase|de|unele|ca lasedeuneleca immsisimmmsis
acealea|preotul|întru|preoţiia|lui acealeapreotulîntrupreoţiialui immmmmsimmmmmsimmmsimmmmmmsims
sau|va|veni|o|boală|drăcească|spre sauvavenioboalădrăceascăspre imsisimmscimmmsimmmmmmmsimms
lase|de|dumnezeiasca|leturghie lasededumnezeiascaleturghie immsisimmmmmmmmmmsimmmmmmms
iară|alte|molitve|să|le iarăaltemolitvesăle immsimmsimmmmmsisis
umple|aşijderea|şi|cine|va|avea umpleaşijdereaşicinevaavea immmsimmmmmmmsisimmsisimms
vreo|vină|sau|orb|de|va|abiia vreovinăsauorbdevaabiia immsimmsimsimsisisimmms
vedea|sau|şchiop vedeasauşchiop immmsimsimmmms
sau|vreo|mînă|uscată sauvreomînăuscată imsimmsimmsimmmms
sau|stricat|sau|surd|sau saustricatsausurdsau imsimmmmmsimsimmsims
fiiu|de|a|treia|nuntă|sau fiiudeatreianuntăsau immsiscimmmsimmmsims
născut|întru|amestecăciune|de|sînge|de|unii născutîntruamestecăciunedesîngedeunii immmmsimmmsimmmmmmmmmmmsisimmmsisimms
ca|aceştia|toţi caaceştiatoţi isimmmmmsimms
să|nu|cuteaze|a sănucuteazea isisimmmmmsc
se|chemarea|preoţi|oarece|episcop sechemareapreoţioareceepiscop isimmmmmmsimmmmsimmmmsimmmmms
popă|ca|acela|să|se|scoaţă|amîndoi popăcaacelasăsescoaţăamîndoi immsisimmmsisisimmmmsimmmmms
şi|acel|episcop şiacelepiscop isimmsimmmmms
şi|acel|popă|popa şiacelpopăpopa isimmsimmsimms
acela|ce|va|lucra|şi acelacevalucraşi immmsisisimmmsis
va|face|ca|să|se|ferească vafacecasăseferească isimmsisisisimmmmmms
de|cuvinte|muierești|ca|să-ş|socotească|vistiiariul decuvintemuiereșticasă-şsocoteascăvistiiariul isimmmmmsimmmmmmmsisimmsimmmmmmmmsimmmmmmmmms
sufletului|nefurat|şi sufletuluinefuratşi immmmmmmmsimmmmmsis
să|nu|se|laude sănuselaude isisisimmms
piiarză|ce|are|preotului|de-i|va piiarzăcearepreotuluide-iva immmmmsisimsimmmmmmmsimmsis
curvi|muiarea|lui|şi|el|nu|va curvimuiarealuişielnuva immmsimmmmmsimsisisisis
ști|acela|să știacelasă imsimmmsis
preoţească|iară|să-i|va preoţeascăiarăsă-iva immmmmmmmsimmsimmsis
spune|neștine|de|dinsă|să spuneneștinededinsăsă immmsimmmmmsisimmmsis
se|lase|de|preoţie|şi|să selasedepreoţieşisă isimmsisimmmmmsisis
cu|ochii|lui|atunce cuochiiluiatunce isimmmsimsimmmms
întru|răbdare|să|petreacă|şi|iară întrurăbdaresăpetreacăşiiară immmsimmmmmsisimmmmmmsisimms
să|slujască|iară|de|va|lasa|aceaia săslujascăiarădevalasaaceaia isimmmmmmsimmsisisimmsimmmms
şi|iară|cu şiiarăcu isimmsis
altă|muiare|va|cadea altămuiarevacadea immsimmmmsisimmms
să|se|lase|de|liturghie săselasedeliturghie isisimmsisimmmmmmms
de-ş|va|avea|muiarea|lui|așijderea|certare de-şvaaveamuiarealuiașijdereacertare immsisimmsimmmmmsimsimmmmmmmsimmmmms
să|aibă|iară săaibăiară isimmsimms
la|moartea|lui|să lamoartealuisă isimmmmmsimsis
se|priceştuiască|ca|şi|alţi sepriceştuiascăcaşialţi isimmmmmmmmmmmsisisimms
de|se|va|tîmpla|mai|nainte|de desevatîmplamainaintede isisisimmmmsimsimmmmsis
el|să|moară elsămoară isisimmms
preuteasa|lui|și|nu preuteasaluișinu immmmmmmsimsisis
se|va|atinge|de|alta sevaatingedealta isisimmmmsisimms
acela|fără|certare|să|preoţească|iară acelafărăcertaresăpreoţeascăiară immmsimmsimmmmmsisimmmmmmmmsimms
de|va|fi|şi|vie|şi|nu devafişivieşinu isisisisimsisis
va|putea|însuş vaputeaînsuş isimmmsimmms
să|o|prinză|cu săoprinzăcu iscimmmmsis
acel|bărbat|la|arătare|să acelbărbatlaarătaresă immsimmmmsisimmmmmsis
că|însuş|domnul|nostru|isus|hristos|graiaște căînsuşdomnulnostruisushristosgraiaște isimmmsimmmmsimmmmsimmsimmmmmsimmmmmms
lăsa|muiarea|lui|alegînd lăsamuiarealuialegînd immsimmmmmsimsimmmmms
să|va|însura|cu|altă|prea săvaînsuracualtăprea isisimmmmsisimmsimms
face|curvie|că|iată|de|toţi|oamenii facecurviecăiatădetoţioamenii immsimmmmsisimmsisimmsimmmmms
tîmpla|deciia|să|nu|mai tîmpladeciiasănumai immmmsimmmmsisisims
întreabe|ce|cum|am|zis|de întreabececumamzisde immmmmmsisimsisimsis
preotul|aşa|grăim|şi|de|diaconul|7 preotulaşagrăimşidediaconul7 immmmmsimsimmmsisisimmmmmmsc
diaconul|de|se diaconuldese immmmmmsisis
va|spurca|în|gură vaspurcaîngură isimmmmsisimms
să|se|scoaţă|ce|iaste săsescoaţăceiaste isisimmmmsisimmms
aceasta|iară|să|știi|că|iaste aceastaiarăsăștiicăiaste immmmmsimmsisimmsisimmms
mădulariul|cel|de|ruşine|de|jos|iară mădulariulcelderuşinedejosiară immmmmmmmsimsisimmmmsisimsimms
de-ş|va|pune de-şvapune immsisimms
ruşinea|în|gura|muierii ruşineaînguramuierii immmmmsisimmsimmmmms
şi|va|fi|cureare|ce şivaficurearece isisisimmmmmsis
se|tîlcuiaște|spurcată|în|gură|deci setîlcuiaștespurcatăîngurădeci isimmmmmmmmsimmmmmmsisimmsimms
eu|de|aceaia|nu|scriu|de-acii|să eudeaceaianuscriude-aciisă isisimmmmsisimmmsimmmmmsis
ştii|la|arătare ştiilaarătare immsisimmmmms
cela|ce|va|face celacevaface immsisisimms
aceasta|să|ia|ispovedire|cu aceastasăiaispovedirecu immmmmsisisimmmmmmmmsis
dumnezeu|şi|să|i|se|socotească dumnezeuşisăisesocotească immmmmmsisiscisimmmmmmmms
cu|aleagere|preotul|de|va|curvi|să cualeagerepreotuldevacurvisă isimmmmmmsimmmmmsisisimmmsis
vrea|să-l|lase|pentru|înţelepţiia vreasă-llasepentruînţelepţiia immsimmsimmsimmmmsimmmmmmmmms
ei|să|nu|se|spurce|cu eisănusespurcecu isisisisimmmmsis
nusul|în|voia|ei|să|fie|ce nusulînvoiaeisăfiece immmsisimmsisisimsis
însă|de|nu însădenu immsisis
va|pohti|alt|bărbat vapohtialtbărbat isimmmsimsimmmms
acel|popă|el|să|petreacă|cu acelpopăelsăpetreacăcu immsimmsisisimmmmmmsis
muiarea|lui|aşijderea|şi|diaconul|şi|ceteţul muiarealuiaşijdereaşidiaconulşiceteţul immmmmsimsimmmmmmmsisimmmmmmsisimmmmms
de|li|se delise isisis
vor|tîmpla|că|am vortîmplacăam imsimmmmsisis
scris|noi|că|muiarea|n-are scrisnoicămuiarean-are immmsimsisimmmmmsimmms
puteare|cu|trupul|ei|aşijderea|şi putearecutrupuleiaşijdereaşi immmmmsisimmmmsisimmmmmmmsis
bărbatul|ei|biruiaște bărbatuleibiruiaște immmmmmsisimmmmmmms
cu|trupul|ei|aşijderea cutrupuleiaşijderea isimmmmsisimmmmmmms
şi|muiarea|biruiaște|pre|trupul şimuiareabiruiaștepretrupul isimmmmmsimmmmmmmsimsimmmms
bărbatului|ei|că|dirept|aceaia|grăiaște bărbatuluieicădireptaceaiagrăiaște immmmmmmmsisisimmmmsimmmmsimmmmmms
dumnezeu|că|sînt|amîndoi|un|trup|că dumnezeucăsîntamîndoiuntrupcă immmmmmsisimmsimmmmmsisimmsis
ce|au|împreunat ceauîmpreunat isisimmmmmmms
dumnezeu|omul|să|nu dumnezeuomulsănu immmmmmsimmsisis
desparţă|dirept|aceaia|împărţire|nice desparţădireptaceaiaîmpărţirenice immmmmmsimmmmsimmmmsimmmmmmmsimms
